Dataset,Feature,Entropy
CICDDoS2019,fwd_packet_length_max,0.7580443541645899
CICDDoS2019,fwd_iat_mean,0.7324678566602346
CICDDoS2019,flow_iat_min,0.6891872214953274
CICDDoS2019,fwd_iat_min,0.6888615714617239
CICDDoS2019,fwd_header_length_1,0.23022849154345262
CICDDoS2019,fwd_header_length,0.23022849154345262
CICDDoS2019,min_seg_size_forward,0.2278891420575176
CICDDoS2019,flow_iat_mean,0.16137902924886188
CICDDoS2019,flow_duration,0.0368147472234453
CICDDoS2019,fwd_iat_std,0.036688802434859384
CICDDoS2019,fwd_iat_max,0.03288434056261771
CICDDoS2019,total_length_of_fwd_packets,0.03234912560976013
CICDDoS2019,subflow_fwd_bytes,0.03234912560976013
CICDDoS2019,fwd_iat_total,0.031970985884422
CICDDoS2019,flow_iat_max,0.02881971510267893
CICDDoS2019,subflow_fwd_packets,0.024947734435005905
CICDDoS2019,total_fwd_packets,0.024947734435005905
CICDDoS2019,act_data_pkt_fwd,0.024008514454105814
CICDDoS2019,flow_iat_std,0.021446517468459173
CICDDoS2019,source_port,0.014715908363701416
CICDDoS2019,packet_length_variance,0.013977770206019528
CICDDoS2019,packet_length_std,0.013433052398803016
CICDDoS2019,total_length_of_bwd_packets,0.0
CICDDoS2019,bwd_packet_length_mean,0.0
CICDDoS2019,bwd_packet_length_std,0.0
CICDDoS2019,bwd_packet_length_max,0.0
CICDDoS2019,bwd_packet_length_min,0.0
CICDDoS2019,fwd_packet_length_std,0.0
CICDDoS2019,protocol,0.0
CICDDoS2019,total_backward_packets,0.0
CICDDoS2019,bwd_psh_flags,0.0
CICDDoS2019,bwd_packets/s,0.0
CICDDoS2019,fwd_psh_flags,0.0
CICDDoS2019,bwd_iat_min,0.0
CICDDoS2019,bwd_iat_max,0.0
CICDDoS2019,bwd_iat_std,0.0
CICDDoS2019,bwd_iat_mean,0.0
CICDDoS2019,bwd_iat_total,0.0
CICDDoS2019,bwd_header_length,0.0
CICDDoS2019,ack_flag_count,0.0
CICDDoS2019,psh_flag_count,0.0
CICDDoS2019,rst_flag_count,0.0
CICDDoS2019,syn_flag_count,0.0
CICDDoS2019,fin_flag_count,0.0
CICDDoS2019,bwd_urg_flags,0.0
CICDDoS2019,fwd_urg_flags,0.0
CICDDoS2019,ece_flag_count,0.0
CICDDoS2019,avg_bwd_segment_size,0.0
CICDDoS2019,cwe_flag_count,0.0
CICDDoS2019,fwd_avg_bytes/bulk,0.0
CICDDoS2019,fwd_avg_packets/bulk,0.0
CICDDoS2019,bwd_avg_bytes/bulk,0.0
CICDDoS2019,fwd_avg_bulk_rate,0.0
CICDDoS2019,down/up_ratio,0.0
CICDDoS2019,urg_flag_count,0.0
CICDDoS2019,bwd_avg_packets/bulk,0.0
CICDDoS2019,bwd_avg_bulk_rate,0.0
CICDDoS2019,subflow_bwd_packets,0.0
CICDDoS2019,subflow_bwd_bytes,0.0
CICDDoS2019,init_win_bytes_backward,0.0
CICDDoS2019,init_win_bytes_forward,0.0
CICDDoS2019,active_mean,0.0
CICDDoS2019,active_std,0.0
CICDDoS2019,active_max,0.0
CICDDoS2019,active_min,0.0
CICDDoS2019,idle_mean,0.0
CICDDoS2019,idle_std,0.0
CICDDoS2019,idle_max,0.0
CICDDoS2019,idle_min,0.0
CICDDoS2019,simillarhttp,0.0
CICDDoS2019,inbound,0.0
TONIoT,src_port,3.438556692323111
TONIoT,dst_pkts,2.2595791656778896
TONIoT,duration,1.2249457809293633
TONIoT,dst_port,0.773687030556383
TONIoT,dst_ip_bytes,0.4935996118072885
TONIoT,dns_rcode,0.3201771420183554
TONIoT,dns_qtype,0.15934579114901865
TONIoT,src_bytes,0.08267293674632051
TONIoT,src_ip_bytes,0.04114560909302098
TONIoT,dns_qclass,0.014895023527447782
TONIoT,http_trans_depth,0.0
TONIoT,http_version,0.0
TONIoT,http_request_body_len,0.0
TONIoT,http_response_body_len,0.0
