,mean,std,min,max,skew
idle_mean,11682.107384915813,329220.44547736394,0.0,9557772.195400663,28.368189490898278
idle_min,10847.423135000123,306646.21294683625,0.0,9041133.583000122,28.580100959949487
idle_std,0.0,0.0,0.0,0.0,0.0
inbound,0.99018,0.09860834900973645,0.0,1.0,-9.942036884178474
init_win_bytes_backward,9.181444,269.16399867572846,-1.0,8192.0,29.77194795385621
init_win_bytes_forward,56.400952,1157.3505195637124,-1.0,29200.0,22.835311578472645
max_packet_length,1332.506924,358.2973854497461,0.0,1472.0,-2.4670158666491004
min_packet_length,1326.83166,372.6816421881685,0.0,1472.0,-2.4564043174857253
min_seg_size_forward,-48795653.68538,222430684.4370477,-1062718975.0,1480.0,-4.339038173277642
packet_length_mean,1330.9282581121854,361.16227651005033,0.0,1472.0,-2.452837503527425
packet_length_std,0.9184329013092681,11.408854456690724,0.0,290.7083811774337,21.669376386128906
packet_length_variance,131.00496124866874,2985.7125596430337,0.0,84511.36577515374,26.511862712918596
protocol,16.922648,0.9191800953372469,6.0,17.0,-11.798974779891127
psh_flag_count,0.0,0.0,0.0,0.0,0.0
rst_flag_count,0.00106,0.03254044614817908,0.0,1.0,30.66608179125119
simillarhttp,0.0,0.0,0.0,0.0,0.0
source_port,1426.0333489999998,6378.285933137807,80.0,63193.00100000002,8.883360937888941
subflow_bwd_bytes,5.6731540000001095,138.3864029553311,0.0,4068.0060000001104,27.806879453807834
subflow_bwd_packets,0.040732,0.6778043536677582,0.0,18.0,22.849061517997153
subflow_fwd_bytes,6404.142404,16812.185814923312,0.0,88000.0,4.421449955450832
subflow_fwd_packets,10.558452,39.17990979602968,1.0,200.0,4.417808787201627
syn_flag_count,0.0,0.0,0.0,0.0,0.0
total_backward_packets,0.040732,0.6778043536677582,0.0,18.0,22.849061517997153
total_fwd_packets,10.558452,39.17990979602968,1.0,200.0,4.417808787201627
total_length_of_bwd_packets,5.6731540000001095,138.3864029553311,0.0,4068.0060000001104,27.806879453807834
total_length_of_fwd_packets,6404.142404,16812.185814923312,0.0,88000.0,4.421449955450832
urg_flag_count,0.004828,0.06931601283136916,0.0,1.0,14.287491192326586
